batch ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index ID
C509.TCGA-44-6775-10A-01D-1855-08.2_gdc_realn	C509.TCGA-44-6775-10A-01D-1855-08.2_gdc_realn.bam	C509.TCGA-44-6775-10A-01D-1855-08.2_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8B5FJQJ5bxyF4pz04qQY114	project-G428g40Jf312vx5727kY9KXZ:file-G8B5Fj8J5bxb686p3zjqYYYb
TCGA-ZX-AA5X-10A-01D-A42R-09_gdc_realn	TCGA-ZX-AA5X-10A-01D-A42R-09_gdc_realn.bam	TCGA-ZX-AA5X-10A-01D-A42R-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BG78jJFKFPvxPx3p3j82kK	project-G428g40Jf312vx5727kY9KXZ:file-G8BG7Y8JFKF2gzz0G35PzV9f
TCGA-ZU-A8S4-10A-01D-A41A-09_gdc_realn	TCGA-ZU-A8S4-10A-01D-A41A-09_gdc_realn.bam	TCGA-ZU-A8S4-10A-01D-A41A-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BG0VQJfV0K94Qj3kzQ1ZkY	project-G428g40Jf312vx5727kY9KXZ:file-G8BG0g8JfV0K4ZxF8gBzj16K
TCGA-ZT-A8OM-10A-01D-A42B-09_gdc_realn	TCGA-ZT-A8OM-10A-01D-A42B-09_gdc_realn.bam	TCGA-ZT-A8OM-10A-01D-A42B-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFx6jJ0Q6by8Qk3zgqYgb3	project-G428g40Jf312vx5727kY9KXZ:file-G8BFxG8J0Q6gzBzY8gKPz88z
TCGA-ZR-A9CJ-10A-01D-A38A-09_gdc_realn	TCGA-ZR-A9CJ-10A-01D-A38A-09_gdc_realn.bam	TCGA-ZR-A9CJ-10A-01D-A38A-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8Bb7gjJJkf15Xp88YvG5p0f	project-G428g40Jf312vx5727kY9KXZ:file-G8Bb7z0JJkf5G3PbBv7jXZz2
TCGA-ZK-AAYZ-10A-01D-A46P-09_gdc_realn	TCGA-ZK-AAYZ-10A-01D-A46P-09_gdc_realn.bam	TCGA-ZK-AAYZ-10A-01D-A46P-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFyPQJbFjK94Qj3kzQ1ZfG	project-G428g40Jf312vx5727kY9KXZ:file-G8BFyg0JbFjK94Qj3kzQ1ZfX
TCGA-ZJ-AB0I-10A-01D-A42R-09_gdc_realn	TCGA-ZJ-AB0I-10A-01D-A42R-09_gdc_realn.bam	TCGA-ZJ-AB0I-10A-01D-A42R-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8Bb4BjJZ7ZPG8VX8jKV74F3	project-G428g40Jf312vx5727kY9KXZ:file-G8Bb4V8JZ7ZGPjb33zPBZBJk
TCGA-ZJ-AB0H-10A-01D-A42R-09_gdc_realn	TCGA-ZJ-AB0H-10A-01D-A42R-09_gdc_realn.bam	TCGA-ZJ-AB0H-10A-01D-A42R-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BGFXQJPgqbGQZj4kfZYbPV	project-G428g40Jf312vx5727kY9KXZ:file-G8BGFq8JPgqvF2Y12XF4gk7K
TCGA-ZJ-AAXU-10A-01D-A42R-09_gdc_realn	TCGA-ZJ-AAXU-10A-01D-A42R-09_gdc_realn.bam	TCGA-ZJ-AAXU-10A-01D-A42R-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8Bb598J1kzzxFBvPzg7yJF7	project-G428g40Jf312vx5727kY9KXZ:file-G8Bb5Z8J1kzpK6FzFgzqq1ZV
TCGA-ZJ-AAXT-10A-01D-A42R-09_gdc_realn	TCGA-ZJ-AAXT-10A-01D-A42R-09_gdc_realn.bam	TCGA-ZJ-AAXT-10A-01D-A42R-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BG140JpXzjqq5J8jzJB6Vq	project-G428g40Jf312vx5727kY9KXZ:file-G8BG1B8JpXzYqBVQ8VJZZ796
TCGA-ZJ-AAXN-10A-01D-A42R-09_gdc_realn	TCGA-ZJ-AAXN-10A-01D-A42R-09_gdc_realn.bam	TCGA-ZJ-AAXN-10A-01D-A42R-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFgyjJYVX5K4GB8gG9yyzq	project-G428g40Jf312vx5727kY9KXZ:file-G8BFj3jJYVX7zBzY8gKPz838
TCGA-ZJ-AAXJ-10A-01D-A42R-09_gdc_realn	TCGA-ZJ-AAXJ-10A-01D-A42R-09_gdc_realn.bam	TCGA-ZJ-AAXJ-10A-01D-A42R-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFjB0JP70FbgF9FkJYK84X	project-G428g40Jf312vx5727kY9KXZ:file-G8BFjf0JP709QJ0jBqk4kYBj
TCGA-ZJ-AAXI-10A-01D-A42R-09_gdc_realn	TCGA-ZJ-AAXI-10A-01D-A42R-09_gdc_realn.bam	TCGA-ZJ-AAXI-10A-01D-A42R-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFqvjJxq97qGVy8Vb0J3Jf	project-G428g40Jf312vx5727kY9KXZ:file-G8BFvKQJxq9J00FfPzy1b56k
TCGA-ZJ-AAXF-10A-01D-A42R-09_gdc_realn	TCGA-ZJ-AAXF-10A-01D-A42R-09_gdc_realn.bam	TCGA-ZJ-AAXF-10A-01D-A42R-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BG69jJZ4Jf0YFY2Xzf7v8F	project-G428g40Jf312vx5727kY9KXZ:file-G8BG6VQJZ4Jb6Jx38gQXzbjg
TCGA-ZJ-AAXD-10A-01D-A42R-09_gdc_realn	TCGA-ZJ-AAXD-10A-01D-A42R-09_gdc_realn.bam	TCGA-ZJ-AAXD-10A-01D-A42R-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFq0QJyyz6FGKF2VfpF5VB	project-G428g40Jf312vx5727kY9KXZ:file-G8BFq70Jyyz9QJ0jBqk4kYKk
TCGA-ZJ-AAXB-10A-01D-A42R-09_gdc_realn	TCGA-ZJ-AAXB-10A-01D-A42R-09_gdc_realn.bam	TCGA-ZJ-AAXB-10A-01D-A42R-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFkp0Jy8Qp7G1yBqJJKPPQ	project-G428g40Jf312vx5727kY9KXZ:file-G8BFp0jJy8Qbjfgq8gyP0GJP
TCGA-ZJ-AAXA-10A-01D-A42R-09_gdc_realn	TCGA-ZJ-AAXA-10A-01D-A42R-09_gdc_realn.bam	TCGA-ZJ-AAXA-10A-01D-A42R-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFpz8JZVqK4ZxF8gBzj11K	project-G428g40Jf312vx5727kY9KXZ:file-G8BFq6QJZVq5jfgq8gyP0GKJ
TCGA-ZJ-AAX8-10A-01D-A42R-09_gdc_realn	TCGA-ZJ-AAX8-10A-01D-A42R-09_gdc_realn.bam	TCGA-ZJ-AAX8-10A-01D-A42R-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFqj8JGG64jFjj2Y6Z90gf	project-G428g40Jf312vx5727kY9KXZ:file-G8BFv18JGG6598qvG1pVvGXf
TCGA-ZJ-AAX4-10B-01D-A42R-09_gdc_realn	TCGA-ZJ-AAX4-10B-01D-A42R-09_gdc_realn.bam	TCGA-ZJ-AAX4-10B-01D-A42R-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFgq0JBPFyk8zV4p5P5Xbv	project-G428g40Jf312vx5727kY9KXZ:file-G8BFj28JBPFf7yJP8XQ2K3yX
TCGA-ZJ-A8QR-10A-01D-A37N-09_gdc_realn	TCGA-ZJ-A8QR-10A-01D-A37N-09_gdc_realn.bam	TCGA-ZJ-A8QR-10A-01D-A37N-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFgZQJPkQy70Px8QxZz5XK	project-G428g40Jf312vx5727kY9KXZ:file-G8BFgp8JPkQxg9BkFjjp0f07
TCGA-ZJ-A8QQ-10A-01D-A37N-09_gdc_realn	TCGA-ZJ-A8QQ-10A-01D-A37N-09_gdc_realn.bam	TCGA-ZJ-A8QQ-10A-01D-A37N-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFj70Jz2Xyk8zV4p5P5Xf5	project-G428g40Jf312vx5727kY9KXZ:file-G8BFjJ8Jz2Xx00FfPzy1b52p
TCGA-ZJ-A8QO-10A-01D-A37N-09_gdc_realn	TCGA-ZJ-A8QO-10A-01D-A37N-09_gdc_realn.bam	TCGA-ZJ-A8QO-10A-01D-A37N-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFgqQJVfb3Ky3F8XzbPQZV	project-G428g40Jf312vx5727kY9KXZ:file-G8BFj5QJVfb598qvG1pVvGJv
TCGA-ZH-A8Y8-10A-01D-A41A-09_gdc_realn	TCGA-ZH-A8Y8-10A-01D-A41A-09_gdc_realn.bam	TCGA-ZH-A8Y8-10A-01D-A41A-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFbk8Jp303Ky3F8XzbPQX1	project-G428g40Jf312vx5727kY9KXZ:file-G8BFbzjJp3077gz6Fk0KfV4X
TCGA-ZH-A8Y7-10A-01D-A46P-09_gdc_realn	TCGA-ZH-A8Y7-10A-01D-A46P-09_gdc_realn.bam	TCGA-ZH-A8Y7-10A-01D-A46P-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BG5pQJB6f8Z3BJ3kV6q5GJ	project-G428g40Jf312vx5727kY9KXZ:file-G8BG640JB6f77gz6Fk0KfVY2
TCGA-ZH-A8Y6-10A-01D-A41A-09_gdc_realn	TCGA-ZH-A8Y6-10A-01D-A41A-09_gdc_realn.bam	TCGA-ZH-A8Y6-10A-01D-A41A-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8Bb3kjJqVJX82vv8VFxBjq6	project-G428g40Jf312vx5727kY9KXZ:file-G8Bb3zjJqVJb6qfYBqG3fKfy
TCGA-ZH-A8Y5-10A-01D-A41A-09_gdc_realn	TCGA-ZH-A8Y5-10A-01D-A41A-09_gdc_realn.bam	TCGA-ZH-A8Y5-10A-01D-A41A-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFyJjJ4ZJ56yp2G1Q8y0Vb	project-G428g40Jf312vx5727kY9KXZ:file-G8BFyZjJ4ZJ8KgZV3z38f1qb
TCGA-ZH-A8Y4-10A-01D-A41A-09_gdc_realn	TCGA-ZH-A8Y4-10A-01D-A41A-09_gdc_realn.bam	TCGA-ZH-A8Y4-10A-01D-A41A-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFZ98JFx6X73YkFkBfyfz0	project-G428g40Jf312vx5727kY9KXZ:file-G8BFZQ8JFx6g2YyB2Z2B3PpY
TCGA-ZH-A8Y3-10A-01D-A46P-09_gdc_realn	TCGA-ZH-A8Y3-10A-01D-A46P-09_gdc_realn.bam	TCGA-ZH-A8Y3-10A-01D-A46P-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BG1JjJ7P0zxFBvPzg7qQ1X	project-G428g40Jf312vx5727kY9KXZ:file-G8BG1k8J7P0yk8zV4p5P5Y0q
TCGA-ZH-A8Y2-10A-01D-A41A-09_gdc_realn	TCGA-ZH-A8Y2-10A-01D-A41A-09_gdc_realn.bam	TCGA-ZH-A8Y2-10A-01D-A41A-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BG1PjJ6Z9jy19F3kyBV7xb	project-G428g40Jf312vx5727kY9KXZ:file-G8BG1fQJ6Z9y70Px8QxZz5vy
TCGA-ZH-A8Y1-10A-01D-A41A-09_gdc_realn	TCGA-ZH-A8Y1-10A-01D-A41A-09_gdc_realn.bam	TCGA-ZH-A8Y1-10A-01D-A41A-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BGPJjJgBJ5G3PbBv7jQJpx	project-G428g40Jf312vx5727kY9KXZ:file-G8BGPx0JgBJ8y19F3kyBV89y
TCGA-ZD-A8I3-10A-01D-A41A-09_gdc_realn	TCGA-ZD-A8I3-10A-01D-A41A-09_gdc_realn.bam	TCGA-ZD-A8I3-10A-01D-A41A-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFQ7jJ3fv83qQX04y4p13F	project-G428g40Jf312vx5727kY9KXZ:file-G8BFQKQJ3fv1k3BbG1KjvFxV
TCGA-ZC-AAAH-10A-01D-A42B-09_gdc_realn	TCGA-ZC-AAAH-10A-01D-A42B-09_gdc_realn.bam	TCGA-ZC-AAAH-10A-01D-A42B-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BF9YQJv03y94Qj3kzQ1Z32	project-G428g40Jf312vx5727kY9KXZ:file-G8BF9k0Jv03ZgXxQPzk85bY8
TCGA-ZC-AAAF-10A-01D-A42B-09_gdc_realn	TCGA-ZC-AAAF-10A-01D-A42B-09_gdc_realn.bam	TCGA-ZC-AAAF-10A-01D-A42B-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFz1QJK6GgzBzY8gKPz8BG	project-G428g40Jf312vx5727kY9KXZ:file-G8BFzB8JK6GvF2Y12XF4gk1V
TCGA-ZC-AAAA-10A-01D-A42B-09_gdc_realn	TCGA-ZC-AAAA-10A-01D-A42B-09_gdc_realn.bam	TCGA-ZC-AAAA-10A-01D-A42B-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BG0K0JKYYJpkQ3Fjp54VxY	project-G428g40Jf312vx5727kY9KXZ:file-G8BG0b8JKYY56yp2G1Q8y0Y3
